Time (s),Elbow F/E Pos,Forearm P/S Pos,Wrist F/E Pos,Wrist R/U Pos,Last DoF Pos,Elbow F/E Pos (Deg),Forearm P/S Pos (Deg),Wrist F/E Pos (Deg),Wrist R/U Pos (Deg),Last DoF Pos (Deg),Robot Joint 1 Pos,Robot Joint 2 Pos,Robot Joint 3 Pos,Robot Joint 4 Pos,Robot Joint 5 Pos,Elbow F/E Vel,Forearm P/S Vel,Wrist F/E Vel,Wrist R/U Pos,Last DoF Pos,Robot Joint 1 Vel,Robot Joint 2 Vel,Robot Joint 3 Vel,Robot Joint 4 Vel,Robot Joint 5 Vel
2.08044,-0.371101,-0.57491,0.125701,-0.0659067,0.0887486,-21.26252107,-32.9399166,7.202136781,-3.776175752,5.084920218,-0.371101,-0.57491,0.106207,0.0967127,0.105616,0,0,-0.00245005,0.0140808,-0.000367891,0,0,-0.00101822,0,0
2.08144,-0.371101,-0.57491,0.125701,-0.0659067,0.0887486,-21.26252107,-32.9399166,7.202136781,-3.776175752,5.084920218,-0.371101,-0.57491,0.106207,0.0967127,0.105616,0,0,-0.00245005,0.0140808,-0.000367891,0,0,-0.00101822,0,0
2.08245,-0.371101,-0.57491,0.12569,-0.0658447,0.088747,-21.26252107,-32.9399166,7.201506527,-3.772623413,5.084828544,-0.371101,-0.57491,0.106203,0.0967127,0.105616,0,0,-0.00281823,0.0161981,-0.000423215,0,0,-0.00117128,0,0
2.08345,-0.371101,-0.57491,0.12569,-0.0658447,0.088747,-21.26252107,-32.9399166,7.201506527,-3.772623413,5.084828544,-0.371101,-0.57491,0.106203,0.0967127,0.105616,0,0,-0.00281823,0.0161981,-0.000423215,0,0,-0.00117128,0,0
2.08445,-0.371101,-0.57491,0.125679,-0.0657828,0.0887454,-21.26252107,-32.9399166,7.200876273,-3.769076805,5.084736871,-0.371101,-0.57491,0.106198,0.0967127,0.105616,0,0,-0.00331659,0.0190643,-0.000498104,0,0,-0.00137848,0,0
2.08545,-0.371101,-0.57491,0.125679,-0.0657828,0.0887454,-21.26252107,-32.9399166,7.200876273,-3.769076805,5.084736871,-0.371101,-0.57491,0.106198,0.0967127,0.105616,0,0,-0.00331659,0.0190643,-0.000498104,0,0,-0.00137848,0,0
2.08645,-0.371101,-0.57491,0.125669,-0.0657208,0.0887438,-21.26252107,-32.9399166,7.200303316,-3.765524466,5.084645198,-0.371101,-0.57491,0.106194,0.0967127,0.105616,0,0,-0.00426854,0.0245384,-0.000641134,0,0,-0.00177423,0,0
2.08745,-0.371101,-0.57491,0.125669,-0.0657208,0.0887438,-21.26252107,-32.9399166,7.200303316,-3.765524466,5.084645198,-0.371101,-0.57491,0.106194,0.0967127,0.105616,0,0,-0.00426854,0.0245384,-0.000641134,0,0,-0.00177423,0,0
2.08845,-0.371101,-0.57491,0.125658,-0.0656588,0.0887422,-21.26252107,-32.9399166,7.199673062,-3.761972128,5.084553525,-0.371101,-0.57491,0.106189,0.0967127,0.105616,0,0,-0.00495518,0.0284882,-0.00074434,0,0,-0.00205974,0,0
2.08946,-0.371101,-0.57491,0.125658,-0.0656588,0.0887422,-21.26252107,-32.9399166,7.199673062,-3.761972128,5.084553525,-0.371101,-0.57491,0.106189,0.0967127,0.105616,0,0,-0.00495518,0.0284882,-0.00074434,0,0,-0.00205974,0,0
