Time (s),anat_pos_1,anat_pos_2,anat_pos_3,anat_pos_4,anat_pos_5,robo_pos_1,robo_pos_2,robo_pos_3,robo_pos_4,robo_pos_5,anat_vel_1,anat_vel_2,anat_vel_3,anat_vel_4,anat_vel_5,robo_vel_1,robo_vel_2,robo_vel_3,robo_vel_4,robo_vel_5
0.080824,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.081819,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.082828,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.083817,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.085765,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.08606,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.087767,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.088215,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.089899,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.090425,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.092521,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.092916,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.093915,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
