time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0.091617,0.8,0.2,-0.785228,0,-1.64629e-16,2.34519e-16,-0.773974,-4.30372e-05,-0.00133216,0.00310961,-1.05967,-0.00263544,0.00520993,0.00690368,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.092617,0.8,0.2,-0.785225,0,-1.64626e-16,2.34515e-16,-0.773806,-4.52491e-05,-0.00132492,0.00314913,-1.07462,-0.00257393,0.0050516,0.00646901,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.093617,0.8,0.2,-0.785221,0,-1.64623e-16,2.3451e-16,-0.77364,-4.74583e-05,-0.00131299,0.00317314,-1.08937,-0.00251274,0.00482846,0.00626093,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.094617,0.8,0.2,-0.785218,0,-1.64619e-16,2.34505e-16,-0.773474,-4.96637e-05,-0.00129694,0.0031823,-1.10388,-0.00245185,0.00454956,0.0062683,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.095621,0.8,0.2,-0.785214,0,-1.64616e-16,2.34501e-16,-0.77331,-5.18643e-05,-0.00127739,0.00317739,-1.11822,-0.00239127,0.00422417,0.00647848,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.096621,0.8,0.2,-0.785211,0,-1.64613e-16,2.34496e-16,-0.773148,-5.40594e-05,-0.00125493,0.00315929,-1.13232,-0.00233101,0.00386156,0.00687749,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.097621,0.8,0.2,-0.785207,0,-1.6461e-16,2.34491e-16,-0.772987,-5.62481e-05,-0.0012302,0.00312894,-1.14622,-0.00227107,0.00347088,0.00745022,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.098621,0.8,0.2,-0.785204,0,-1.64606e-16,2.34486e-16,-0.772827,-5.84297e-05,-0.0012038,0.00308737,-1.15989,-0.00221146,0.00306101,0.00818065,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.099621,0.8,0.2,-0.7852,0,-1.64603e-16,2.34481e-16,-0.772669,-6.06036e-05,-0.0011763,0.00303566,-1.17332,-0.00215221,0.00264039,0.00905206,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.100621,0.8,0.2,-0.785197,0,-1.646e-16,2.34477e-16,-0.772513,-6.2769e-05,-0.00114825,0.00297495,-1.18656,-0.00209335,0.00221697,0.0100472,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
